,Country Name,Number of Companies,Investment Amount,Conference,Journal,Patent,Repository,Number of Companies Normalized,Investment Amount Normalized,Conference Normalized,Journal Normalized,Patent Normalized,Repository Normalized,Index Equal Metric Weights,Index Equal Pillar Weights,Index Andre Prefers,Rank Equal Metric Weights,Rank Equal Pillar Weights,Rank Andre Prefers,Rank Difference Max
0,United States,184.0,23597061376.0,6692.87540827691,9416.71317598968,2757.33333358168,6080.86964398622,100.0,100.0,100.0,67.92747000766872,100.0,100.0,567.9274700076687,767.9274700076687,767.9274700076687,1.0,1.0,1.0,0.0
3,China,3.0,9933432648.0,5239.98731017112,13862.8940175846,362.000000029802,1735.90272212773,1.6304347826086956,42.09605802061037,78.29201935674703,100.0,13.128626692354839,28.546948442555095,263.694087294876,307.4205800980951,388.3518265740984,2.0,2.0,2.0,0.0
1,United Kingdom,43.0,1878275064.0,1212.4932937771,2167.64292491227,215.000000059604,1079.16765461862,23.369565217391305,7.95978378015471,18.116179068231872,15.63629442858533,7.797388782890695,17.74692959724735,90.62614087450126,121.95548987204728,91.13592699757407,3.0,3.0,3.0,0.0
9,Japan,17.0,390861767.0,1057.22063631564,1446.55239472538,994.333333462476,335.006566308438,9.23913043478261,1.6564001795475094,15.796209727857802,10.434707160643935,36.06141199369869,5.509188420767225,78.69704791729777,89.59257853162791,74.4271180211577,4.0,5.0,4.0,1.0
7,Germany,34.0,578325343.0,1114.36233996599,1342.96824423223,326.500000059604,893.072415523231,18.47826086956522,2.4508362875565544,16.64997885046368,9.68750278642195,11.84115087150134,14.686590369626659,73.79432003513541,94.72341719225717,62.66856802823985,5.0,4.0,5.0,1.0
4,India,28.0,496679517.0,1494.41111233085,3188.99600967019,44.8333333730697,424.962302170693,15.217391304347826,2.1048363145131312,22.32838684674676,23.003825937247008,1.6259671192830631,6.988511957183078,71.26891947932087,88.59114709818182,62.36603711851243,6.0,6.0,6.0,0.0
5,Canada,32.0,796623489.0,779.212736226618,1343.18427596986,17.1666666865348,601.933093249797,17.391304347826086,3.375943624108324,11.64242106259718,9.689061131579578,0.6225822056934951,9.898799489067967,52.62011186087263,73.38735983280704,45.35663838537152,7.0,7.0,9.0,2.0
8,France,7.0,549677685.0,630.142101742327,773.75329734385,624.666666686534,378.574460409581,3.8043478260869565,2.3294327892839397,9.415117767813907,5.581470192027514,22.6547388768232,6.225663146454368,50.010770598489884,56.14455121386078,53.19472114025474,8.0,8.0,7.0,1.0
144,"Korea, Republic Of",0.0,0.0,684.002778634429,1395.78324965387,588.500000029802,249.897558405995,0.0,0.0,10.21986421245105,10.068483881384127,21.34308510554148,4.109569404322546,45.7410026036992,45.7410026036992,45.7410026036992,9.0,9.0,8.0,1.0
12,Australia,8.0,289944519.0,658.15238328278,1137.71201790869,38.0,501.594662569463,4.3478260869565215,1.228731469482448,9.833626702042883,8.206886790489358,1.3781431333381562,8.248732367836954,33.24394655014632,38.82050410658529,32.58231487163714,10.0,11.0,10.0,1.0
